station,duration,IGS08LAT,IGS08LONG,IGS08ELIPHT,cp_mean(m),cp_std(m),sigmax(m),sigmay(m),sigmaz(m),NominalT,dn (cm),de (cm),dh (cm)
GLAS,2.99583,44.51934225,-122.9960552,69.46473044,-0.0010,0.0230,0.0057,0.0039,0.0045,3,-0.18,-0.19,2.17
GLAS,2.99583,44.51934229,-122.9960553,69.47173929,0.0000,0.0250,0.0069,0.0035,0.0041,3,0.26,-0.37,2.87
LBCC,2.99583,44.5849856,-123.1181764,46.98286015,0.0010,0.0300,0.0032,0.0058,0.0043,3,-1.12,-0.78,3.29
LBCC,2.99583,44.5849857,-123.1181764,46.96561212,-0.0020,0.0460,0.0041,0.0059,0.0049,3,-0.03,-0.44,1.56
LBCC,2.91250,44.58498572,-123.1181763,46.96582175,0.0000,0.0310,0.0035,0.0058,0.0044,3,0.20,0.57,1.58
LBCC,2.99583,44.58498562,-123.1181765,46.96438214,-0.0020,0.0440,0.0048,0.0056,0.0049,3,-0.92,-1.67,1.44
LBCC,2.99583,44.58498568,-123.1181766,46.96021298,0.0010,0.0380,0.0074,0.0064,0.0049,3,-0.22,-2.41,1.02
LBCC,2.99583,44.58498567,-123.1181768,46.94614856,0.0010,0.0240,0.0074,0.0065,0.0049,3,-0.32,-3.33,-0.39
LBCC,2.99583,44.58498581,-123.1181763,46.95393203,-0.0010,0.0370,0.0098,0.0047,0.0050,3,1.13,0.44,0.39
LBCC,2.99583,44.58498577,-123.1181763,46.96561561,0.0000,0.0280,0.0080,0.0041,0.0054,3,0.72,-0.09,1.56
LBCC,2.99583,44.58498574,-123.1181765,46.99039583,0.0000,0.0320,0.0099,0.0045,0.0052,3,0.39,-1.09,4.04
LBCC,2.99583,44.58498578,-123.1181764,46.98160287,0.0000,0.0240,0.0065,0.0038,0.0050,3,0.86,-0.15,3.16
LBCC,2.99583,44.58498579,-123.1181767,46.96726463,0.0010,0.0290,0.0066,0.0038,0.0050,3,1.00,-2.50,1.73
LBCC,2.99583,44.58498576,-123.1181763,46.97022293,0.0000,0.0310,0.0046,0.0039,0.0038,3,0.59,0.33,2.02
LBCC,2.99583,44.58498564,-123.1181762,46.96709411,0.0000,0.0230,0.0045,0.0038,0.0038,3,-0.66,0.90,1.71
LBCC,2.99583,44.58498574,-123.1181763,46.95989413,0.0000,0.0270,0.0062,0.0043,0.0043,3,0.45,0.07,0.99
LBCC,2.99583,44.58498577,-123.1181761,46.94374435,0.0000,0.0320,0.0072,0.0038,0.0047,3,0.73,1.72,-0.63
LBCC,2.99167,44.58498573,-123.1181759,46.95928501,0.0010,0.0290,0.0071,0.0044,0.0042,3,0.34,3.35,0.93
LBCC,2.99583,44.58498575,-123.1181759,46.95190966,0.0000,0.0250,0.0068,0.0038,0.0049,3,0.50,3.29,0.19
LBCC,2.99583,44.58498572,-123.118176,46.96601724,0.0000,0.0290,0.0069,0.0039,0.0049,3,0.18,2.49,1.60
LBCC,2.99583,44.5849856,-123.118176,46.99167084,-0.0010,0.0220,0.0046,0.0049,0.0045,3,-1.10,2.59,4.17
U727,2.89583,44.59391682,-123.5471758,204.4113858,0.0000,0.0220,0.0034,0.0061,0.0041,3,0.69,1.45,1.34
U727,2.99583,44.59391676,-123.547176,204.4197052,0.0000,0.0250,0.0034,0.0057,0.0047,3,-0.03,-0.39,2.17
U727,2.99583,44.5939169,-123.5471758,204.3796119,0.0010,0.0240,0.0075,0.0069,0.0051,3,1.59,0.80,-1.84
U727,2.99583,44.593917,-123.5471757,204.3626249,-0.0010,0.0240,0.0061,0.0060,0.0049,3,2.69,1.53,-3.54
U727,2.99583,44.59391665,-123.5471763,204.4245872,-0.0010,0.0330,0.0097,0.0047,0.0058,3,-1.21,-2.69,2.66
U727,2.99583,44.5939168,-123.5471759,204.4093484,0.0000,0.0280,0.0053,0.0043,0.0048,3,0.43,0.50,1.13
U727,2.99583,44.59391682,-123.5471761,204.4058116,-0.0010,0.0250,0.0079,0.0041,0.0057,3,0.61,-1.08,0.78
U727,2.99583,44.59391683,-123.547176,204.3865463,0.0000,0.0240,0.0055,0.0036,0.0046,3,0.74,-0.58,-1.15
U727,2.99583,44.59391679,-123.5471759,204.4026212,0.0000,0.0220,0.0072,0.0041,0.0045,3,0.28,0.01,0.46
U727,2.99583,44.59391674,-123.5471759,204.4106702,-0.0010,0.0250,0.0047,0.0054,0.0051,3,-0.28,0.14,1.27
U727,2.99583,44.59391672,-123.5471758,204.4043104,0.0000,0.0220,0.0071,0.0038,0.0048,3,-0.45,0.82,0.63
Y683,2.89583,44.68914763,-123.2189186,71.67856555,-0.0040,0.0540,0.0031,0.0056,0.0038,3,0.55,1.09,5.26
Y683,2.99583,44.68914764,-123.2189187,71.63683697,-0.0010,0.0210,0.0034,0.0055,0.0044,3,0.66,-0.33,1.08
Y683,2.99583,44.68914768,-123.2189188,71.63525199,0.0000,0.0220,0.0050,0.0052,0.0044,3,1.08,-1.05,0.93
Y683,2.99583,44.68914752,-123.2189187,71.63644657,0.0000,0.0220,0.0060,0.0062,0.0046,3,-0.67,0.06,1.04
Y683,2.89583,44.68914762,-123.2189188,71.62767779,0.0010,0.0210,0.0052,0.0054,0.0046,3,0.35,-0.59,0.17
Y683,2.99583,44.68914786,-123.2189186,71.59874933,0.0000,0.0200,0.0054,0.0054,0.0044,3,3.03,1.19,-2.73
Y683,2.99583,44.68914767,-123.2189188,71.63984209,-0.0010,0.0210,0.0090,0.0042,0.0053,3,0.92,-0.75,1.38
Y683,2.99583,44.68914763,-123.2189188,71.63054959,0.0000,0.0220,0.0053,0.0034,0.0042,3,0.53,-0.95,0.45
Y683,2.99583,44.68914771,-123.2189187,71.64094018,-0.0010,0.0250,0.0082,0.0040,0.0053,3,1.39,-0.26,1.49
Y683,2.99583,44.68914766,-123.2189188,71.65438997,0.0000,0.0220,0.0044,0.0034,0.0037,3,0.79,-0.72,2.84
Y683,2.99583,44.68914761,-123.2189188,71.64396219,0.0010,0.0200,0.0058,0.0036,0.0045,3,0.33,-0.65,1.80
Y683,2.99583,44.68914767,-123.2189187,71.62128294,0.0010,0.0220,0.0046,0.0033,0.0038,3,0.98,-0.02,-0.47
Y683,2.99583,44.68914763,-123.2189186,71.6179318,-0.0010,0.0200,0.0069,0.0036,0.0042,3,0.51,0.77,-0.81
Y683,2.99583,44.68914758,-123.2189187,71.63778157,0.0010,0.0210,0.0058,0.0038,0.0045,3,-0.09,-0.01,1.18
Y683,2.99583,44.68914765,-123.2189187,71.62568726,-0.0010,0.0270,0.0071,0.0036,0.0043,3,0.73,-0.02,-0.03
Y683,2.99583,44.68914761,-123.2189185,71.61675702,0.0000,0.0220,0.0066,0.0036,0.0045,3,0.31,1.93,-0.92
Y683,2.99583,44.68914764,-123.2189187,71.63101293,0.0000,0.0210,0.0047,0.0041,0.0044,3,0.63,0.34,0.50
Y683,2.99583,44.68914759,-123.2189186,71.63609019,-0.0010,0.0220,0.0062,0.0037,0.0046,3,0.07,0.60,1.01
B726,3.91250,44.64840744,-123.0626612,42.03397261,0.0000,0.0270,0.0029,0.0044,0.0035,4,0.55,-0.94,-2.00
B726,3.89583,44.64840755,-123.0626611,41.98573789,0.0040,0.0690,0.0027,0.0052,0.0039,4,1.79,-0.05,-6.83
B726,3.99583,44.64840741,-123.0626611,42.03226821,0.0000,0.0260,0.0050,0.0041,0.0038,4,0.24,0.51,-2.17
B726,3.99583,44.64840674,-123.0626626,42.18741164,0.0000,0.0420,0.0059,0.0046,0.0043,4,-7.24,-11.40,13.34
B726,3.99583,44.64840745,-123.0626611,42.0293199,0.0000,0.0330,0.0046,0.0043,0.0039,4,0.67,-0.01,-2.47
B726,3.99583,44.64840751,-123.0626608,42.09642282,-0.0030,0.0520,0.0044,0.0030,0.0037,4,1.38,2.92,4.24
B726,3.99583,44.64840745,-123.062661,42.04242136,0.0000,0.0230,0.0042,0.0030,0.0032,4,0.69,0.94,-1.16
B726,3.99583,44.64840746,-123.0626611,42.04997734,0.0010,0.0320,0.0045,0.0035,0.0037,4,0.83,0.32,-0.40
B726,3.99583,44.64840746,-123.0626608,42.08216594,-0.0010,0.0330,0.0043,0.0031,0.0033,4,0.81,2.83,2.82
BICK,4.07917,44.48952031,-123.2807107,51.96679434,0.0000,0.0200,0.0029,0.0043,0.0035,4,-0.80,-0.56,0.68
BICK,3.99583,44.4895203,-123.2807105,51.97449099,0.0000,0.0200,0.0038,0.0039,0.0034,4,-0.86,0.57,1.45
BICK,3.89583,44.48952027,-123.2807107,51.99247565,0.0010,0.0210,0.0045,0.0041,0.0036,4,-1.22,-0.68,3.25
BICK,3.99583,44.48952034,-123.2807106,51.97020652,0.0000,0.0200,0.0049,0.0044,0.0037,4,-0.44,-0.03,1.02
BICK,3.99583,44.48952054,-123.2807102,51.93568673,-0.0010,0.0240,0.0059,0.0036,0.0036,4,1.83,2.96,-2.43
BICK,3.99583,44.48952025,-123.2807107,52.01425606,0.0000,0.0230,0.0052,0.0041,0.0037,4,-1.37,-0.35,5.43
BICK,3.99583,44.48952034,-123.2807105,51.96557595,0.0000,0.0200,0.0056,0.0038,0.0036,4,-0.40,1.22,0.56
BICK,3.99583,44.48952031,-123.2807106,51.97515183,0.0000,0.0210,0.0057,0.0034,0.0038,4,-0.73,0.11,1.52
BICK,3.99583,44.48952037,-123.2807105,51.9701132,0.0010,0.0200,0.0058,0.0036,0.0036,4,-0.05,0.61,1.01
BICK,3.99583,44.48952037,-123.2807106,51.97099201,0.0000,0.0230,0.0049,0.0030,0.0036,4,-0.08,0.32,1.10
BICK,3.99583,44.48952045,-123.2807106,51.94681261,0.0000,0.0190,0.0055,0.0039,0.0036,4,0.79,0.29,-1.32
BICK,3.99583,44.48952043,-123.2807107,51.96781322,0.0000,0.0220,0.0061,0.0039,0.0036,4,0.58,-0.92,0.78
BICK,3.99583,44.48952042,-123.2807106,51.96721686,0.0000,0.0220,0.0050,0.0030,0.0036,4,0.42,0.06,0.72
BICK,3.99583,44.48952036,-123.2807106,51.96945658,0.0000,0.0200,0.0038,0.0029,0.0031,4,-0.18,0.38,0.95
BICK,3.99583,44.48952036,-123.2807106,51.97682572,0.0000,0.0210,0.0046,0.0029,0.0034,4,-0.16,0.27,1.68
BICK,3.99583,44.4895204,-123.2807106,51.96736301,0.0000,0.0220,0.0043,0.0030,0.0032,4,0.28,0.55,0.74
BICK,3.99583,44.48952039,-123.2807104,51.97569275,0.0000,0.0200,0.0046,0.0030,0.0034,4,0.17,1.47,1.57
BICK,3.99167,44.48952034,-123.2807105,51.98413231,0.0000,0.0210,0.0042,0.0030,0.0034,4,-0.40,0.61,2.41
BICK,3.99583,44.48952033,-123.2807106,51.98236479,0.0000,0.0210,0.0046,0.0029,0.0034,4,-0.57,0.48,2.24
BICK,3.99583,44.48952027,-123.2807105,51.97154212,0.0000,0.0200,0.0038,0.0032,0.0034,4,-1.20,1.09,1.15
BICK,3.99583,44.48952029,-123.2807105,51.97980653,0.0000,0.0220,0.0046,0.0031,0.0035,4,-0.93,1.08,1.98
BICK,3.99583,44.48952037,-123.2807104,51.9637105,0.0010,0.0200,0.0046,0.0030,0.0034,4,-0.09,1.94,0.37
BICK,3.99583,44.48952027,-123.2807105,51.98004495,0.0000,0.0200,0.0038,0.0032,0.0034,4,-1.19,0.79,2.00
GLAS,4.07917,44.51934224,-122.9960554,69.45004516,-0.0010,0.0250,0.0026,0.0042,0.0034,4,-0.32,-1.32,0.70
GLAS,3.99583,44.51934237,-122.9960554,69.4167405,0.0000,0.0240,0.0027,0.0043,0.0034,4,1.11,-1.45,-2.63
GLAS,3.99583,44.51934228,-122.9960553,69.44099845,-0.0010,0.0290,0.0040,0.0040,0.0035,4,0.12,-0.40,-0.20
GLAS,3.99583,44.51934241,-122.9960551,69.42603367,-0.0010,0.0290,0.0064,0.0037,0.0039,4,1.62,1.02,-1.70
GLAS,3.99583,44.51934245,-122.996055,69.4197049,0.0000,0.0270,0.0056,0.0042,0.0039,4,2.03,1.52,-2.33
GLAS,3.99583,44.51934223,-122.9960554,69.45875174,0.0000,0.0250,0.0036,0.0027,0.0031,4,-0.39,-1.16,1.58
GLAS,3.99583,44.5193423,-122.9960552,69.47307541,-0.0010,0.0230,0.0038,0.0029,0.0031,4,0.44,0.45,3.01
GLAS,3.99583,44.51934231,-122.9960552,69.46895293,-0.0010,0.0230,0.0046,0.0030,0.0035,4,0.50,-0.20,2.60
GLAS,3.99583,44.51934233,-122.9960552,69.4666343,0.0000,0.0240,0.0043,0.0030,0.0032,4,0.74,0.54,2.36
LBCC,4.07917,44.58498562,-123.1181766,46.96581326,0.0010,0.0320,0.0027,0.0045,0.0036,4,-0.91,-1.85,1.58
LBCC,3.91250,44.58498571,-123.1181765,46.95062354,0.0000,0.0300,0.0030,0.0044,0.0036,4,0.11,-1.33,0.06
LBCC,3.99583,44.58498564,-123.1181765,46.97267299,-0.0010,0.0410,0.0043,0.0045,0.0038,4,-0.74,-1.56,2.27
LBCC,3.99583,44.58498574,-123.1181766,46.94432044,0.0010,0.0370,0.0029,0.0045,0.0036,4,0.42,-2.13,-0.57
LBCC,3.99583,44.58498558,-123.1181767,46.97478058,0.0000,0.0330,0.0043,0.0045,0.0038,4,-1.33,-2.49,2.48
LBCC,3.99583,44.58498573,-123.1181765,46.95576761,0.0000,0.0380,0.0059,0.0045,0.0040,4,0.33,-1.15,0.58
LBCC,3.99583,44.58498569,-123.1181765,46.95716661,0.0000,0.0350,0.0047,0.0045,0.0039,4,-0.18,-1.50,0.72
LBCC,3.99583,44.58498567,-123.1181765,46.98251972,-0.0010,0.0320,0.0062,0.0042,0.0040,4,-0.32,-1.65,3.25
LBCC,3.99583,44.58498566,-123.1181771,46.96889926,0.0010,0.0340,0.0071,0.0044,0.0040,4,-0.46,-5.92,1.89
LBCC,3.99583,44.5849858,-123.1181765,46.96612498,0.0000,0.0320,0.0052,0.0033,0.0039,4,1.11,-1.30,1.61
LBCC,3.99583,44.58498567,-123.1181765,46.96335807,0.0000,0.0230,0.0039,0.0028,0.0034,4,-0.33,-1.45,1.34
LBCC,3.99583,44.58498574,-123.1181762,46.95895572,0.0000,0.0330,0.0039,0.0031,0.0033,4,0.41,0.76,0.90
LBCC,3.99583,44.58498573,-123.1181762,46.95034134,0.0000,0.0310,0.0045,0.0033,0.0035,4,0.35,1.01,0.03
LBCC,3.99167,44.58498571,-123.1181759,46.96129729,0.0000,0.0280,0.0042,0.0032,0.0033,4,0.08,3.10,1.13
LBCC,3.99583,44.58498576,-123.118176,46.96362011,0.0010,0.0240,0.0048,0.0032,0.0038,4,0.60,2.61,1.36
LBCC,3.99583,44.58498573,-123.118176,46.96550696,0.0000,0.0270,0.0048,0.0033,0.0038,4,0.29,2.47,1.55
LBCC,3.99583,44.58498566,-123.1181762,46.97322422,0.0000,0.0230,0.0040,0.0034,0.0038,4,-0.49,1.15,2.32
U727,3.89583,44.59391689,-123.5471759,204.4027372,0.0000,0.0220,0.0026,0.0046,0.0037,4,1.45,0.32,0.47
U727,3.99583,44.59391679,-123.5471758,204.3970425,-0.0010,0.0320,0.0052,0.0046,0.0041,4,0.28,1.32,-0.10
U727,3.99583,44.59391681,-123.547176,204.3973898,0.0000,0.0290,0.0058,0.0037,0.0047,4,0.50,-0.24,-0.06
U727,3.99583,44.5939169,-123.5471758,204.3749796,-0.0020,0.0330,0.0061,0.0045,0.0042,4,1.52,1.40,-2.30
U727,3.99583,44.59391681,-123.5471761,204.3863998,0.0000,0.0250,0.0049,0.0032,0.0042,4,0.60,-0.93,-1.16
U727,3.99583,44.5939168,-123.5471759,204.3984509,0.0000,0.0220,0.0047,0.0034,0.0039,4,0.41,-0.05,0.05
U727,3.99583,44.59391674,-123.5471759,204.4059395,-0.0010,0.0240,0.0041,0.0036,0.0039,4,-0.20,0.14,0.79
U727,3.99583,44.59391675,-123.5471758,204.3952412,0.0000,0.0220,0.0048,0.0035,0.0039,4,-0.10,1.31,-0.28
Y683,3.89583,44.68914762,-123.2189188,71.63394416,0.0010,0.0210,0.0045,0.0042,0.0036,4,0.43,-0.44,0.79
Y683,3.89583,44.68914769,-123.2189187,71.6664773,-0.0030,0.0480,0.0025,0.0044,0.0034,4,1.20,0.43,4.05
Y683,3.99583,44.6891477,-123.2189186,71.62358382,0.0000,0.0200,0.0048,0.0041,0.0036,4,1.29,1.04,-0.24
Y683,3.99583,44.68914779,-123.2189185,71.594957,0.0000,0.0240,0.0060,0.0036,0.0037,4,2.28,1.53,-3.10
Y683,3.99583,44.68914762,-123.2189187,71.64088374,0.0000,0.0250,0.0052,0.0040,0.0037,4,0.45,0.11,1.49
Y683,3.99583,44.6891476,-123.2189188,71.63635581,0.0000,0.0220,0.0059,0.0035,0.0040,4,0.20,-0.33,1.04
Y683,3.99583,44.68914766,-123.2189187,71.62093716,0.0010,0.0200,0.0059,0.0037,0.0037,4,0.84,0.26,-0.51
Y683,3.99583,44.68914768,-123.2189187,71.6212031,0.0000,0.0220,0.0043,0.0028,0.0034,4,1.09,-0.03,-0.48
Y683,3.99583,44.68914765,-123.2189186,71.62826815,0.0000,0.0200,0.0041,0.0031,0.0032,4,0.71,0.74,0.23
Y683,3.99583,44.68914762,-123.2189187,71.63468019,0.0000,0.0220,0.0046,0.0029,0.0035,4,0.35,-0.13,0.87
Y683,3.99583,44.68914769,-123.2189186,71.62522961,0.0000,0.0250,0.0043,0.0031,0.0033,4,1.13,0.53,-0.08
Y683,3.99583,44.68914765,-123.2189185,71.62967108,0.0000,0.0210,0.0047,0.0030,0.0035,4,0.74,1.53,0.37
Y683,3.99583,44.68914765,-123.2189186,71.63440947,0.0000,0.0220,0.0042,0.0031,0.0036,4,0.68,0.48,0.84
Y683,3.99583,44.68914761,-123.2189186,71.64209401,0.0000,0.0210,0.0047,0.0030,0.0035,4,0.32,0.76,1.61
B726,4.99583,44.64840747,-123.0626608,42.0857552,-0.0020,0.0480,0.0038,0.0027,0.0031,5,0.90,2.56,3.18
B726,4.99583,44.64840748,-123.062661,42.05259044,0.0000,0.0240,0.0036,0.0024,0.0029,5,1.06,1.28,-0.14
B726,4.99583,44.64840747,-123.062661,42.05778803,0.0010,0.0310,0.0038,0.0028,0.0034,5,0.94,0.69,0.38
B726,4.99583,44.64840746,-123.0626609,42.07784994,0.0000,0.0350,0.0038,0.0025,0.0031,5,0.84,1.82,2.38
BICK,4.99583,44.48952036,-123.2807106,51.96743217,0.0000,0.0210,0.0034,0.0024,0.0029,5,-0.22,0.34,0.74
BICK,4.99583,44.48952036,-123.2807105,51.97147221,0.0000,0.0220,0.0034,0.0025,0.0028,5,-0.23,0.73,1.15
BICK,4.99583,44.4895204,-123.2807106,51.96980467,-0.0010,0.0230,0.0034,0.0024,0.0028,5,0.22,-0.09,0.98
BICK,4.99583,44.48952039,-123.2807105,51.98078982,0.0000,0.0210,0.0034,0.0025,0.0028,5,0.11,1.01,2.08
BICK,4.99167,44.48952034,-123.2807105,51.98555918,0.0000,0.0210,0.0034,0.0027,0.0029,5,-0.39,0.67,2.56
BICK,4.99583,44.48952032,-123.2807105,51.98350275,0.0000,0.0200,0.0034,0.0025,0.0028,5,-0.59,0.58,2.35
BICK,4.99583,44.4895203,-123.2807105,51.97304682,0.0000,0.0200,0.0034,0.0028,0.0029,5,-0.83,0.70,1.30
BICK,4.99583,44.4895203,-123.2807106,51.97630188,0.0000,0.0210,0.0035,0.0025,0.0029,5,-0.81,0.51,1.63
BICK,4.99583,44.48952037,-123.2807105,51.96635504,0.0010,0.0200,0.0034,0.0025,0.0028,5,-0.13,1.16,0.64
BICK,4.99583,44.48952031,-123.2807106,51.9779935,0.0000,0.0200,0.0034,0.0027,0.0029,5,-0.75,0.44,1.80
GLAS,4.99583,44.51934225,-122.9960554,69.45759955,0.0010,0.0250,0.0033,0.0024,0.0028,5,-0.15,-1.66,1.46
GLAS,4.99583,44.51934228,-122.9960553,69.46380278,-0.0010,0.0270,0.0034,0.0024,0.0029,5,0.19,-0.61,2.08
GLAS,4.99583,44.51934231,-122.9960553,69.47308242,-0.0010,0.0240,0.0034,0.0027,0.0029,5,0.45,-0.51,3.01
GLAS,4.99583,44.51934232,-122.9960553,69.46600065,0.0000,0.0260,0.0034,0.0024,0.0028,5,0.62,-0.37,2.30
LBCC,4.99583,44.58498569,-123.1181766,46.968707,0.0010,0.0250,0.0035,0.0026,0.0030,5,-0.17,-1.83,1.87
LBCC,4.99583,44.58498575,-123.1181764,46.95838129,-0.0010,0.0320,0.0036,0.0026,0.0031,5,0.51,-0.28,0.84
LBCC,4.99583,44.58498573,-123.1181762,46.95174374,0.0000,0.0290,0.0036,0.0026,0.0030,5,0.35,0.86,0.17
LBCC,4.99167,44.58498572,-123.1181762,46.95523666,0.0000,0.0320,0.0037,0.0025,0.0031,5,0.19,1.31,0.52
LBCC,4.99583,44.58498576,-123.1181761,46.96975899,0.0000,0.0240,0.0036,0.0027,0.0031,5,0.58,2.20,1.98
LBCC,4.99583,44.58498572,-123.1181762,46.96559508,0.0000,0.0290,0.0036,0.0027,0.0031,5,0.18,1.18,1.56
LBCC,4.99583,44.58498569,-123.1181762,46.97540465,0.0000,0.0280,0.0035,0.0030,0.0032,5,-0.13,1.06,2.54
U727,4.99583,44.59391683,-123.5471759,204.3837874,0.0000,0.0250,0.0040,0.0029,0.0034,5,0.80,0.13,-1.42
U727,4.99583,44.5939168,-123.547176,204.4019103,0.0000,0.0240,0.0042,0.0027,0.0035,5,0.43,-0.34,0.39
U727,4.99583,44.59391676,-123.5471759,204.4077883,-0.0010,0.0240,0.0036,0.0032,0.0035,5,0.04,0.11,0.98
U727,4.99583,44.59391675,-123.5471759,204.4025954,0.0000,0.0220,0.0039,0.0027,0.0033,5,-0.14,0.39,0.46
Y683,4.99583,44.6891477,-123.2189187,71.62097483,0.0000,0.0220,0.0036,0.0026,0.0029,5,1.32,0.28,-0.50
Y683,4.99583,44.68914765,-123.2189187,71.63014375,-0.0010,0.0200,0.0035,0.0024,0.0029,5,0.73,0.13,0.41
Y683,4.99583,44.68914762,-123.2189187,71.63539953,0.0000,0.0220,0.0034,0.0026,0.0029,5,0.36,-0.11,0.94
Y683,4.99583,44.68914767,-123.2189188,71.63050998,0.0000,0.0260,0.0035,0.0024,0.0029,5,0.99,-0.66,0.45
Y683,4.99583,44.68914765,-123.2189187,71.64381027,0.0000,0.0210,0.0034,0.0028,0.0030,5,0.74,0.17,1.78
Y683,4.99583,44.68914761,-123.2189186,71.64484708,0.0000,0.0210,0.0035,0.0026,0.0029,5,0.31,0.71,1.88
B726,6.99583,44.64840746,-123.0626609,42.08390141,-0.0020,0.0460,0.0028,0.0024,0.0026,7,0.83,1.59,2.99
B726,6.99583,44.64840748,-123.0626609,42.04176593,0.0000,0.0260,0.0029,0.0021,0.0024,7,0.99,1.76,-1.22
B726,6.99583,44.64840747,-123.062661,42.04918699,0.0000,0.0330,0.0032,0.0023,0.0028,7,0.89,1.21,-0.48
B726,6.99583,44.64840745,-123.062661,42.06786936,0.0000,0.0340,0.0029,0.0022,0.0025,7,0.66,1.01,1.39
BICK,6.99583,44.48952036,-123.2807106,51.96560523,0.0000,0.0200,0.0028,0.0021,0.0023,7,-0.21,0.40,0.56
BICK,6.99583,44.48952038,-123.2807106,51.97168226,0.0000,0.0230,0.0029,0.0020,0.0024,7,0.05,0.44,1.17
BICK,6.99583,44.48952041,-123.2807105,51.97428656,-0.0010,0.0230,0.0028,0.0020,0.0023,7,0.34,0.63,1.43
BICK,6.99583,44.48952038,-123.2807104,51.97305813,0.0000,0.0210,0.0029,0.0020,0.0024,7,0.07,1.44,1.31
BICK,6.99167,44.48952034,-123.2807106,51.98367539,0.0000,0.0210,0.0028,0.0020,0.0024,7,-0.46,0.49,2.37
BICK,6.99583,44.48952032,-123.2807106,51.98573226,0.0010,0.0210,0.0029,0.0020,0.0024,7,-0.60,0.02,2.57
BICK,6.99583,44.48952032,-123.2807106,51.97077023,0.0010,0.0220,0.0027,0.0021,0.0024,7,-0.69,0.39,1.08
BICK,6.99583,44.48952032,-123.2807107,51.97785033,0.0000,0.0210,0.0029,0.0020,0.0024,7,-0.63,-0.55,1.79
BICK,6.99583,44.48952037,-123.2807107,51.97184132,0.0000,0.0220,0.0029,0.0020,0.0025,7,-0.04,-0.44,1.18
BICK,6.99583,44.48952034,-123.2807106,51.97754347,0.0000,0.0210,0.0027,0.0020,0.0024,7,-0.44,0.04,1.75
GLAS,6.99583,44.51934227,-122.9960554,69.45117338,0.0000,0.0240,0.0025,0.0021,0.0023,7,0.10,-1.25,0.82
GLAS,6.99583,44.51934229,-122.9960552,69.45577152,0.0000,0.0260,0.0027,0.0021,0.0023,7,0.26,-0.21,1.28
GLAS,6.99583,44.5193423,-122.9960554,69.4686102,-0.0010,0.0270,0.0029,0.0021,0.0025,7,0.43,-1.46,2.56
GLAS,6.99583,44.51934235,-122.9960552,69.46449836,0.0000,0.0260,0.0029,0.0021,0.0024,7,0.89,-0.11,2.15
LBCC,6.99583,44.58498568,-123.1181766,46.96327408,0.0010,0.0320,0.0026,0.0023,0.0025,7,-0.24,-2.17,1.33
LBCC,6.99583,44.58498574,-123.1181764,46.95371871,0.0000,0.0320,0.0028,0.0022,0.0025,7,0.37,-0.62,0.37
LBCC,6.99583,44.58498575,-123.1181763,46.96191752,0.0000,0.0360,0.0030,0.0022,0.0025,7,0.50,0.20,1.19
LBCC,6.99167,44.58498572,-123.1181763,46.95922639,0.0000,0.0320,0.0029,0.0022,0.0025,7,0.20,0.18,0.92
LBCC,6.99583,44.58498577,-123.1181762,46.97176328,0.0000,0.0250,0.0031,0.0022,0.0026,7,0.69,1.17,2.18
LBCC,6.99583,44.58498573,-123.1181765,46.96740585,0.0010,0.0300,0.0031,0.0023,0.0027,7,0.28,-1.44,1.74
LBCC,6.99583,44.58498571,-123.1181764,46.96813528,0.0000,0.0280,0.0028,0.0022,0.0026,7,0.12,-0.26,1.81
U727,6.99583,44.59391687,-123.5471759,204.390168,-0.0010,0.0240,0.0026,0.0025,0.0026,7,1.18,0.26,-0.78
U727,6.99583,44.5939168,-123.5471758,204.3939947,-0.0010,0.0280,0.0032,0.0023,0.0028,7,0.38,0.71,-0.40
U727,6.99583,44.59391677,-123.547176,204.4047401,0.0000,0.0260,0.0031,0.0024,0.0029,7,0.11,-0.41,0.67
U727,6.99583,44.59391676,-123.5471759,204.4013511,0.0000,0.0260,0.0033,0.0023,0.0029,7,-0.03,-0.11,0.34
Y683,6.99583,44.68914771,-123.2189187,71.63405869,-0.0020,0.0370,0.0025,0.0023,0.0023,7,1.39,0.14,0.81
Y683,6.99583,44.68914766,-123.2189187,71.63186911,-0.0010,0.0200,0.0028,0.0021,0.0024,7,0.81,0.23,0.59
Y683,6.99583,44.68914763,-123.2189188,71.63296781,0.0000,0.0240,0.0030,0.0020,0.0025,7,0.53,-0.61,0.70
Y683,6.99583,44.68914769,-123.2189187,71.63167082,-0.0010,0.0260,0.0029,0.0021,0.0024,7,1.22,0.26,0.57
Y683,6.99583,44.68914765,-123.2189187,71.64515643,0.0000,0.0220,0.0029,0.0021,0.0025,7,0.69,-0.21,1.92
Y683,6.99583,44.68914761,-123.2189187,71.64574716,0.0000,0.0210,0.0030,0.0021,0.0025,7,0.25,-0.12,1.97
