station,duration,IGS08LAT,IGS08LONG,IGS08ELIPHT,cp_mean(m),cp_std(m),sigmax(m),sigmay(m),sigmaz(m),NominalT,dn (cm),de (cm),dh (cm)
BICK,2.01250,44.48952033,-123.2807105,51.97738682,0.0010,0.0220,0.0071,0.0063,0.0050,2,-0.58,1.22,1.74
BICK,2.01250,44.48952043,-123.2807105,51.96221078,0.0010,0.0190,0.0074,0.0060,0.0050,2,0.61,0.98,0.22
BICK,2.01250,44.48952034,-123.2807104,51.96689197,0.0000,0.0200,0.0123,0.0052,0.0058,2,-0.43,1.50,0.69
BICK,2.01250,44.48952034,-123.2807105,51.96318037,0.0000,0.0210,0.0124,0.0055,0.0057,2,-0.36,1.03,0.32
BICK,2.01250,44.48952032,-123.2807106,51.98957657,0.0000,0.0210,0.0070,0.0060,0.0059,2,-0.59,0.46,2.96
BICK,2.01250,44.48952038,-123.2807104,51.9513825,0.0000,0.0220,0.0103,0.0047,0.0059,2,0.05,1.59,-0.86
BICK,2.01250,44.48952035,-123.2807105,51.96489944,0.0000,0.0210,0.0085,0.0052,0.0060,2,-0.34,1.15,0.49
BICK,2.00833,44.48952031,-123.2807104,51.99628951,0.0000,0.0200,0.0067,0.0087,0.0067,2,-0.80,1.60,3.63
BICK,2.01250,44.48952029,-123.2807105,51.98793278,0.0000,0.0220,0.0076,0.0056,0.0059,2,-1.03,0.93,2.79
BICK,2.01250,44.48952027,-123.2807105,51.96872133,0.0000,0.0190,0.0099,0.0144,0.0089,2,-1.15,0.74,0.87
BICK,2.01250,44.48952022,-123.2807105,51.98780533,-0.0010,0.0210,0.0096,0.0054,0.0067,2,-1.70,0.97,2.78
BICK,2.01250,44.48952031,-123.2807103,51.96541881,0.0000,0.0210,0.0088,0.0053,0.0062,2,-0.71,2.59,0.54
BICK,2.01250,44.48952019,-123.2807104,51.9894258,0.0000,0.0200,0.0095,0.0138,0.0086,2,-2.03,1.90,2.94
GLAS,2.01250,44.51934225,-122.9960551,69.4420693,0.0000,0.0270,0.0047,0.0096,0.0049,2,-0.21,0.94,-0.09
GLAS,2.01250,44.5193422,-122.9960556,69.45239791,-0.0010,0.0250,0.0060,0.0074,0.0065,2,-0.71,-2.93,0.94
GLAS,2.01250,44.51934257,-122.9960548,69.37882997,-0.0020,0.0290,0.0085,0.0088,0.0060,2,3.36,3.33,-6.42
GLAS,2.01250,44.51934232,-122.9960554,69.43682902,0.0000,0.0220,0.0081,0.0087,0.0075,2,0.61,-1.80,-0.62
GLAS,2.01250,44.51934246,-122.9960551,69.36977244,0.0000,0.0210,0.0084,0.0087,0.0065,2,2.16,0.64,-7.32
GLAS,2.01250,44.51934248,-122.9960546,69.40277388,0.0000,0.0320,0.0129,0.0088,0.0065,2,2.36,5.12,-4.02
GLAS,2.01250,44.5193421,-122.9960562,69.50167267,0.0010,0.0250,0.0127,0.0055,0.0074,2,-1.84,-7.51,5.87
GLAS,2.01250,44.51934259,-122.9960549,69.45383326,-0.0010,0.0300,0.0191,0.0067,0.0082,2,3.67,2.33,1.08
GLAS,2.01250,44.51934212,-122.996056,69.46821751,0.0010,0.0260,0.0148,0.0057,0.0077,2,-1.63,-6.51,2.52
GLAS,2.01250,44.51934227,-122.9960553,69.47979111,-0.0010,0.0210,0.0067,0.0050,0.0054,2,0.06,-0.77,3.68
GLAS,2.01250,44.51934244,-122.9960552,69.48832054,-0.0010,0.0230,0.0096,0.0062,0.0058,2,1.93,0.38,4.53
GLAS,2.01250,44.51934242,-122.9960553,69.46134534,-0.0010,0.0220,0.0063,0.0058,0.0049,2,1.71,-0.35,1.83
GLAS,2.01250,44.5193423,-122.9960551,69.47217884,-0.0010,0.0220,0.0077,0.0060,0.0051,2,0.35,1.31,2.92
GLAS,2.01250,44.51934228,-122.9960553,69.48171472,-0.0010,0.0240,0.0124,0.0056,0.0057,2,0.21,-0.28,3.87
GLAS,2.01250,44.51934221,-122.9960553,69.47057048,-0.0020,0.0240,0.0070,0.0063,0.0062,2,-0.56,-0.73,2.76
GLAS,2.01250,44.5193423,-122.9960549,69.44581805,-0.0010,0.0250,0.0103,0.0048,0.0059,2,0.44,2.49,0.28
LBCC,2.01250,44.58498575,-123.1181765,46.97195491,0.0020,0.0450,0.0049,0.0098,0.0052,2,0.48,-1.21,2.20
LBCC,2.01250,44.58498556,-123.1181765,46.98573682,0.0010,0.0320,0.0061,0.0083,0.0071,2,-1.64,-1.33,3.57
LBCC,2.01250,44.58498573,-123.1181764,46.92865625,-0.0010,0.0440,0.0092,0.0092,0.0080,2,0.28,-0.33,-2.13
LBCC,2.01250,44.58498571,-123.1181763,46.9738937,0.0000,0.0350,0.0068,0.0084,0.0075,2,0.05,0.06,2.39
LBCC,2.01250,44.58498543,-123.1181767,46.99795251,-0.0010,0.0350,0.0091,0.0091,0.0071,2,-3.04,-3.24,4.80
LBCC,2.01250,44.58498556,-123.1181768,46.95437868,0.0020,0.0350,0.0098,0.0098,0.0073,2,-1.58,-3.79,0.44
LBCC,2.01250,44.58498573,-123.1181767,46.9668405,0.0000,0.0320,0.0146,0.0084,0.0069,2,0.27,-2.51,1.68
LBCC,2.01250,44.58498555,-123.1181768,46.94284724,0.0010,0.0250,0.0089,0.0092,0.0069,2,-1.74,-3.74,-0.72
LBCC,2.01250,44.5849857,-123.1181763,46.96013721,-0.0010,0.0340,0.0133,0.0092,0.0067,2,-0.06,0.39,1.01
LBCC,2.01250,44.58498579,-123.1181765,46.96956187,0.0000,0.0280,0.0178,0.0061,0.0077,2,0.98,-1.67,1.96
LBCC,2.01250,44.58498571,-123.1181765,46.98451036,0.0000,0.0360,0.0150,0.0081,0.0070,2,0.03,-1.60,3.45
LBCC,2.01250,44.58498579,-123.1181768,47.02760122,-0.0010,0.0250,0.0156,0.0057,0.0079,2,1.02,-3.57,7.76
LBCC,2.01250,44.58498573,-123.1181774,47.01694777,0.0010,0.0330,0.0159,0.0057,0.0080,2,0.34,-8.08,6.69
LBCC,2.01250,44.58498579,-123.1181764,46.9763763,0.0000,0.0320,0.0065,0.0054,0.0057,2,0.91,-0.23,2.64
LBCC,2.01250,44.5849857,-123.1181769,46.99087158,0.0000,0.0210,0.0149,0.0057,0.0080,2,-0.05,-4.81,4.09
